identifiant,genre,date_naissance,region,departement,diplome,csp,revenu_mensuel,vaccination,confinement_respect,precaution,risque_declare,risque_jeu,patience,cooperation,comportement
9wvt5y0c,0,1978,7,75,6,4,4,2,9,5,4,13,3,6,34.114
fcexk6uj,1,1955,12,13,8,4,3,2,7,3,5,20,5,20,62.115
v3uyupxn,1,1993,10,31,6,8,-1,2,7,5,4,8,3,20,45
rn3i1la2,0,1985,6,80,8,4,3,2,10,4,3,50,3,0,80.362
oz4ru74o,0,1988,9,33,8,5,3,2,10,3,6,32,7,6,54.856
yg3djmzp,0,1947,7,75,3,7,2,2,8,4,6,50,4,0,80.362
9uvce6a2,0,1955,3,36,3,7,1,2,9,4,6,32,8,10,78.69
u7lehqmb,1,1982,8,76,6,4,4,2,10,5,0,31,10,0,45
106a37lb,0,1956,10,66,9,7,4,2,9,5,3,32,8,10,56.766
rf1adza0,0,1952,12,84,9,7,-1,2,10,3,1,10,10,0,45
qqbiazaj,0,2003,10,31,3,8,0,2,9,4,6,8,2,0,57.804
itc508mp,0,1954,9,86,6,7,3,2,7,4,6,54,8,20,54.856
so240rzg,1,1992,0,38,8,3,2,2,7,4,4,50,8,12,74.395
p2t9k3ro,0,1955,9,87,2,7,1,2,10,5,5,17,10,10,56.766
b47acxqj,1,1940,9,17,0,7,4,2,8,3,6,40,6,20,57.804
gcbe13bq,0,1953,7,95,8,7,1,1,10,4,7,20,6,20,45
5q599jor,1,1935,0,38,9,7,3,1,9,5,5,20,7,10,70.581
z37qnbc7,1,1997,9,86,7,8,1,2,9,4,2,26,7,16,57.804
bdeep5tm,1,1957,6,59,6,7,3,2,8,2,7,20,8,10,57.804
6lialjxb,1,1957,7,95,1,7,-1,2,8,5,5,35,5,20,45
rxxdjk2g,0,1956,2,29,3,7,1,2,10,4,3,1,3,0,57.804
vkmiy6x6,1,1971,0,03,0,6,4,0,9,3,10,63,10,20,80.789
810j0wac,1,1991,8,76,3,4,3,2,9,4,5,19,1,0,62.115
jcufw1u5,1,1953,2,22,6,7,2,2,8,5,5,40,0,10,57.804
1u53hcu4,1,1953,12,84,8,7,1,2,8,4,4,30,6,14,57.804
ni4mcqpp,1,1946,0,07,8,7,3,2,8,4,6,40,6,8,57.804
9vq47to5,0,1972,0,07,2,6,4,2,10,4,5,21,7,0,56.977
7evgrzuv,1,1948,7,77,3,7,7,2,8,5,4,10,10,10,57.804
dq771d0z,0,1994,7,75,8,3,6,1,7,4,8,20,5,10,80.362
zeretu16,1,1996,10,34,8,3,3,2,8,4,6,30,7,10,56.766
lirqbg3u,0,1978,10,66,5,3,5,2,8,4,2,16,4,10,57.804
8q4x7509,1,1981,10,31,5,3,4,2,8,2,5,9,4,10,54.856
jpf0qeui,0,1967,7,91,5,3,2,2,8,5,6,55,2,0,65.871
orjfgy6q,0,1965,10,66,3,5,2,0,8,2,5,40,8,10,57.804
kutszh03,1,1997,8,14,3,2,2,2,7,4,4,15,0,16,57.804
sqewegmf,1,1974,10,31,8,3,7,2,10,4,6,40,2,12,58.319
mradigt0,0,1971,6,62,8,4,2,2,8,2,3,35,8,10,57.804
a1wyqd6l,1,1977,7,75,8,2,7,2,8,5,5,27,4,16,75.379
ide2cmcj,0,1963,7,94,6,4,2,2,8,5,7,11,7,0,66.385
xlo6jcts,0,1945,0,43,4,7,1,2,8,4,3,20,8,10,57.804
2nwtxoab,0,1981,5,67,3,5,2,1,8,1,2,20,6,10,54.856
ei6fck6c,0,1962,0,69,3,2,8,2,9,4,0,7,10,0,54.856
2vqyng1l,0,1999,3,45,7,8,-1,0,7,2,0,3,4,12,58.57
7hi9m8k8,1,1958,10,65,8,7,2,2,8,4,7,5,5,12,76.242
zeondie3,0,1962,11,44,5,7,1,2,9,4,0,47,5,10,49.269
0e900ice,0,1952,8,50,3,7,2,2,9,4,3,3,8,2,23.964
fknuuzui,0,1969,7,95,3,2,4,2,10,5,5,22,4,10,57.804
z4k11gft,0,1969,0,42,8,3,-1,2,9,4,6,4,6,20,54.856
r9f63jg9,1,1962,11,44,5,3,4,2,8,4,8,32,7,20,54.856
fh5hni0l,0,1995,11,44,8,3,4,1,7,4,5,27,7,14,54.856
w0pddmj7,0,1960,9,33,5,7,0,2,9,5,3,20,8,4,60.325
os2u27mv,1,1972,7,75,8,3,10,1,8,4,3,2,7,0,56.977
8ynaxio4,0,1965,1,70,5,4,4,2,5,5,4,40,8,2,57.804
38pwodc0,0,1950,9,64,8,7,2,2,10,5,6,24,0,6,57.804
jlnfwejs,0,1998,3,45,6,4,1,2,8,5,7,21,0,12,69.646
grlyjovh,0,1961,11,44,7,3,4,2,5,5,7,32,6,20,54.856
mg4pwaqp,0,1988,7,78,6,4,3,1,8,4,3,30,8,10,54.856
51if24o5,1,1980,6,62,7,4,4,2,10,5,3,25,7,20,62.909
j2qw8l14,0,1986,7,92,8,3,6,2,9,5,2,23,7,10,68.111
kltlem2v,0,1979,1,70,3,4,2,2,9,4,5,59,1,0,62.939
11xt6krr,0,1943,7,77,2,7,2,2,9,4,0,12,5,0,34.114
g8d845gu,0,1948,11,85,2,7,1,2,10,5,5,13,6,10,67.037
g86d3e6l,1,1954,10,31,8,7,5,2,8,4,6,48,4,20,33.234
jq2jwvw3,1,1991,12,13,6,4,4,2,9,5,6,40,5,10,45
dd6ykje1,0,1953,2,35,8,7,1,2,8,5,6,40,7,10,61.518
ai9i30r2,1,1959,11,44,0,2,4,2,0,3,5,31,7,20,54.856
hqrr6vld,1,1969,0,03,2,1,0,2,6,1,3,32,1,20,80.362
2a7trj4g,0,1961,0,03,1,5,3,2,8,2,2,43,5,10,54.856
0buz9lsf,1,1973,10,81,5,4,4,2,6,3,5,32,5,0,57.804
ssv4fpvr,0,1981,1,71,6,4,1,2,8,4,4,30,8,10,57.804
18ykmhk7,0,1983,8,61,0,8,0,0,9,4,4,40,0,10,54.856
sj8owwvk,1,1974,0,63,6,4,4,1,8,3,1,48,7,20,75.379
evrib5jg,0,1986,0,42,6,2,3,2,8,5,10,20,10,10,52.989
yigk3x9u,0,1966,5,67,2,6,1,0,9,3,7,20,10,20,55.094
1n2n12vy,0,1965,0,63,8,3,6,2,9,2,5,45,2,10,57.804
xn3yn1mg,1,1999,10,46,5,4,11,2,3,4,3,25,10,10,57.804
xed5surt,0,1963,7,95,3,4,3,2,7,4,4,7,7,20,65.42
gxzhbv3l,0,1954,5,57,5,7,1,2,10,4,5,3,5,14,23.964
8u8cpm8q,0,1990,12,13,8,4,3,1,6,4,3,20,3,0,57.804
o7et2txz,1,1975,2,56,5,4,1,2,7,3,0,10,10,10,57.804
5w8phhls,1,1965,0,01,8,3,3,2,7,4,3,22,7,20,54.856
8qcmmd47,0,1973,12,13,9,3,6,2,7,5,3,32,5,10,57.804
v0hl958l,0,1961,5,67,8,7,11,2,10,4,5,28,8,10,56.056
b0wufqn3,1,1972,12,13,8,3,4,1,10,3,7,20,8,0,54.856
mdbp7mzf,0,1980,4,2B,3,8,4,1,9,4,2,32,8,0,54.856
dkv6h4gw,0,1984,12,13,8,4,-1,0,9,5,3,28,2,0,80.789
8uif7528,0,1977,5,54,4,5,3,2,10,3,4,16,2,20,57.804
scc28a3d,0,1975,2,35,7,5,1,2,10,5,1,32,6,0,45
t2g3ov7d,0,1989,7,75,8,3,6,2,10,5,1,20,5,4,60.255
g5ei9zh0,1,1951,2,56,8,7,4,2,8,4,6,48,8,10,62.001
n450aggg,1,1943,10,09,9,7,2,2,9,4,5,15,8,10,54.856
rjkv53qh,1,1938,12,06,9,7,3,2,8,5,6,33,7,20,57.804
g2c36w6g,1,1969,7,93,5,4,4,2,9,4,5,30,8,20,56.766
b6h7x6fk,1,1968,5,52,3,2,2,1,9,4,6,40,5,6,45
xn8qj1kd,0,1953,5,67,2,7,-1,2,9,4,6,9,10,14,55.417
0r627csi,0,1981,7,91,3,4,4,2,10,4,2,33,5,6,57.804
b1ra1pkm,1,1965,0,74,3,6,4,2,8,4,4,20,4,12,68.248
sqqmc34p,0,1958,7,75,8,7,4,2,8,4,6,32,4,20,54.856
i0z3yza0,1,1954,9,64,8,7,1,2,5,1,7,14,5,10,80.362
9vmspa5s,0,1981,9,86,7,3,3,2,8,5,5,40,7,14,57.804
d6vznufo,1,1961,0,38,5,5,4,2,8,4,7,38,8,10,62.115
m55394nx,0,1982,7,75,8,3,3,1,10,4,4,50,3,18,58.663
5z7d0yhu,0,1954,7,94,2,7,4,2,8,5,3,6,5,6,62.736
mqvts27w,1,1957,7,75,8,7,3,2,10,5,9,19,8,12,42.138
yhaw1exz,1,1979,0,03,6,1,1,2,9,4,5,24,5,18,57.804
mhz58ziw,1,1955,10,12,0,7,0,2,7,4,0,1,10,0,56.977
t2yg3vc0,0,1959,12,13,8,3,4,0,10,2,3,20,7,20,57.804
i85ut0bx,1,1955,12,13,2,7,1,2,9,4,2,1,8,0,61.18
9vfxb9fa,1,1947,0,43,7,7,3,2,5,5,7,30,7,10,57.804
atnm939b,0,1957,7,94,2,7,2,2,9,4,3,15,9,16,54.856
x08yp77g,1,1958,10,31,6,7,4,2,7,4,3,32,5,10,45
m92o4ru4,1,1956,7,75,1,7,2,1,9,5,6,7,8,0,45
q48ogu06,1,1990,6,59,6,5,3,2,8,4,10,32,3,0,54.856
7w3x7i2l,0,2002,7,78,3,8,-1,2,9,4,3,31,10,0,45
0xorvf6l,0,1997,10,30,2,5,1,2,10,4,3,30,10,10,54.911
zpcdx20s,1,1985,7,91,9,3,4,0,6,3,5,32,7,0,50.971
zoz29uu2,1,1965,2,29,2,6,0,2,9,4,5,20,5,20,59.294
anl25zdz,0,1950,12,04,2,7,2,2,9,4,5,7,10,2,61.952
lp4vqd6e,1,1985,0,63,3,4,-1,0,7,3,5,1,5,10,67.48
rtjt4muo,1,1985,12,13,5,3,2,2,8,2,7,32,4,6,45
7xj0fy63,1,1961,7,75,8,3,5,2,1,4,8,32,8,0,45
jytb4c0d,0,1980,9,33,8,3,-1,2,8,4,6,40,4,10,80.362
tbfag7y3,1,1976,9,19,2,6,-1,1,10,3,5,15,10,0,75.379
n4o7xgrh,0,1991,7,93,3,5,1,1,9,4,0,2,0,20,59.38
cg2ntek3,0,1946,10,34,9,7,3,1,8,2,5,32,9,10,45
6w6cyxhh,1,1993,9,86,6,4,3,1,6,2,3,27,9,0,54.856
jinsi506,1,1945,11,44,8,7,10,2,6,2,6,32,2,8,58.459
zw920viz,0,1992,5,67,6,8,1,0,2,5,6,9,5,0,55.848
humhc42t,0,1947,2,22,2,7,1,2,10,5,5,40,4,0,59.826
uznoemh3,1,1951,0,03,5,7,5,2,8,4,5,32,4,10,57.804
x9jihjfp,0,1993,6,59,8,3,4,2,10,4,6,31,6,12,66.173
p416hpie,1,1979,7,94,5,4,1,2,8,3,0,1,4,0,81.401
scrmg1w8,1,1995,9,17,6,8,3,2,7,4,3,32,6,0,57.804
jhmywezq,0,1965,6,59,7,2,1,0,8,1,6,20,5,10,69.396
6n8uggr3,0,1990,3,37,8,2,3,2,8,4,3,42,4,6,80.362
4m4c46cr,0,1982,6,60,6,5,1,2,10,3,7,23,2,0,54.856
ymr2fy7i,1,1988,0,07,3,6,2,0,5,3,5,24,3,10,57.249
x4kqlnkk,1,1988,9,87,7,4,1,2,9,4,6,52,3,20,54.856
hfn9sjxy,1,1972,7,75,9,3,5,2,7,4,2,22,4,20,54.856
xl7pgvn4,1,1947,5,57,8,7,4,2,9,4,5,32,4,14,45
qaydrs8f,1,1950,7,95,8,7,3,0,6,2,6,50,8,20,54.856
i3ga88fp,0,1968,2,29,8,2,4,2,10,5,5,52,5,10,57.804
u3ox62sj,1,1955,1,58,3,7,1,2,9,4,5,35,7,8,65.611
p2ijmctd,0,1973,2,56,6,4,2,2,9,4,4,7,7,0,57.804
x8alqacn,0,1982,12,0,3,8,1,0,7,2,5,12,5,0,45
zg3eaczb,1,1971,7,78,2,2,9,2,9,4,6,40,7,0,57.804
fnz4ugkl,0,1995,7,93,8,3,4,2,9,4,0,20,7,12,54.856
jsa1k5xm,1,1992,7,75,7,5,0,2,9,5,4,60,10,10,54.856
geojuzh8,0,1965,10,66,4,4,2,2,9,4,5,2,10,10,57.804
mq56v4ha,0,1984,7,95,8,4,-1,2,7,5,2,32,8,0,54.856
c4jdafci,0,1961,7,93,6,4,3,2,9,5,7,7,7,0,80.362
gsknmerw,0,1986,7,75,6,4,3,1,6,4,6,2,8,0,54.856
qustrnv0,1,1935,12,83,8,7,5,2,8,5,8,40,6,10,80.362
fia7zoyy,0,1959,6,02,2,7,0,0,10,5,5,5,8,0,56.878
use7aby7,0,1946,9,33,6,7,2,2,9,5,5,20,7,0,56.977
0xtpb1ex,0,1963,11,44,2,8,0,2,10,4,0,46,9,16,57.804
gryk6awm,0,1993,9,33,6,6,2,2,8,4,8,46,4,12,80.362
b8lz18jy,0,1952,7,78,2,7,4,2,9,4,7,50,7,4,57.804
0v5u88d8,1,1972,10,31,8,3,7,2,8,2,5,20,7,8,54.856
5xmhbtfq,0,1984,7,92,5,4,-1,2,10,4,5,6,8,16,66.161
e5772cwc,0,1995,7,95,6,5,2,2,10,4,5,30,3,10,80.362
gkgm5pz9,1,1974,9,87,3,8,4,2,9,4,7,2,4,16,52.261
t537ktbz,0,1992,7,78,8,3,4,2,10,4,4,30,2,20,80.362
mr9hglvb,0,1991,6,59,8,4,3,2,10,3,2,12,5,0,57.804
krbvzz0z,1,1987,3,37,5,5,1,0,10,5,6,25,9,20,54.856
nzo5jh2w,0,1983,0,26,3,4,1,2,10,4,1,3,5,0,56.766
uvs7oayx,1,1950,6,62,3,7,2,2,8,5,5,22,4,0,61.526
dv0hb3ko,0,1962,0,63,5,5,2,0,9,3,2,64,8,0,66.036
59du3d17,0,1968,0,74,2,8,-1,0,8,3,2,15,5,0,57.804
auhyb7uk,0,1996,8,76,6,4,4,0,8,2,8,48,5,10,45
9wl1q4xb,1,1962,7,44,5,7,3,2,8,4,2,1,2,0,57.804
4anr6z6g,0,1948,6,59,5,7,2,2,6,4,0,32,4,10,56.309
msux7gbc,0,1969,1,21,5,2,2,1,8,4,7,58,8,20,56.766
b9e5k4v9,0,1985,7,92,9,3,10,2,8,3,2,21,8,8,57.804
kkl9rfpm,0,1972,8,14,7,5,2,2,10,4,3,26,4,2,75.018
9xsa1ts8,0,1952,7,78,7,7,4,2,5,4,0,25,4,0,75.379
o1igcs5i,1,1968,11,72,3,5,2,2,10,4,5,40,5,2,66.249
hwpvgjc3,0,1999,2,29,6,8,-1,2,9,4,5,30,3,10,54.856
nvm8qzm6,1,1969,12,13,8,5,4,0,10,2,9,15,10,2,57.804
3trv7sx8,0,1982,6,59,5,3,2,2,9,5,10,3,4,0,56.766
cliyg8et,0,1985,7,77,8,2,6,0,5,3,10,32,3,0,54.856
4ygx2wkw,1,1938,6,62,1,7,2,2,8,4,0,40,8,0,57.804
ern2rlgz,0,1990,0,69,8,3,3,1,8,4,2,4,8,10,80.362
whs7xsn2,0,1965,1,21,6,2,5,2,10,4,5,10,5,10,57.804
i7r8ogmm,0,1953,9,33,9,7,3,2,9,4,6,64,8,0,54.856
0b8smhmt,0,1966,12,13,8,3,8,0,9,4,2,13,6,6,57.804
ou6seko5,1,1993,12,13,3,4,2,0,6,2,7,22,5,2,60.454
obgu8hpo,1,1996,7,91,8,5,1,2,7,5,7,21,3,4,77.521
10vgei3g,1,1949,1,21,9,4,1,2,8,4,5,16,3,12,57.804
jxb877y6,0,1985,8,76,8,3,4,1,9,5,0,32,5,10,45
awd7ui2d,0,1974,11,85,0,8,0,2,10,4,8,4,7,0,56.977
gendz8f6,1,1987,7,77,7,5,3,1,8,1,5,40,3,8,60.255
tju3hv6s,0,1973,7,94,7,3,4,2,6,4,7,64,3,4,63.312
t6txdg8h,0,1979,10,31,7,3,5,2,9,5,5,6,8,0,55.126
58y23ipj,0,1954,9,33,9,7,3,2,9,4,5,7,8,10,54.856
ug2aqfe4,1,1962,12,83,2,7,4,2,9,5,8,20,8,20,57.804
v3hn6q0s,1,1967,9,33,8,2,-1,0,7,2,7,25,3,20,62.939
7vx7u2sb,0,1954,12,06,7,7,5,2,9,4,2,40,4,18,57.804
6v8wv4wn,0,1993,11,85,6,4,1,2,9,4,3,16,9,6,54.856
dr8owhkq,0,1983,3,45,8,3,2,2,9,3,4,13,6,10,57.931
9609jmty,1,1954,11,49,2,7,3,2,7,4,5,32,2,4,78.951
zn34b6nj,1,1981,9,33,9,3,6,2,9,5,7,13,7,20,54.856
njhnyxuh,0,1959,3,18,3,5,1,2,8,5,5,1,5,0,76.023
37s7o7wa,1,1989,7,75,8,4,1,0,9,4,6,30,8,16,57.804
1vkmofpa,0,1961,9,64,3,1,1,2,8,5,3,9,8,2,57.804
plclblq6,0,1969,11,44,2,8,2,2,7,3,5,25,5,0,56.977
9m10bila,1,1941,0,42,8,7,3,2,9,5,3,25,5,16,73.321
comp32nu,1,1981,8,27,3,6,4,2,9,2,7,40,2,20,54.856
bi435q57,1,1984,7,91,7,5,3,2,8,2,7,32,9,20,54.856
xg32hlxv,0,1953,12,13,8,7,2,2,7,1,4,62,5,10,56.766
34vlp9pv,0,1980,11,85,2,7,1,1,9,5,5,22,5,20,54.856
fjejhkr6,0,1953,0,63,5,7,3,1,8,4,7,1,10,0,56.977
0ycriymo,0,1947,5,67,5,7,2,2,9,5,5,5,4,0,56.878
vxmuvs22,1,1997,7,78,7,8,5,2,8,4,2,8,7,20,57.804
o1r5c1hb,0,1970,5,54,5,8,2,2,9,4,2,30,6,20,77.521
zqdg5f4c,1,2000,7,78,5,4,3,2,10,4,3,16,10,10,45
xydo3yg3,0,1979,3,28,5,2,2,2,9,2,8,40,5,10,64.939
ttn1wbsq,1,1980,7,75,5,5,3,2,8,4,7,16,8,6,57.804
r4ih90n1,0,1984,11,44,6,4,3,2,10,4,2,30,1,10,57.804
g4y34u8a,0,1957,7,75,1,7,1,0,10,2,0,30,8,2,57.893
yfiwz8ty,1,1955,0,26,8,7,3,2,9,4,6,31,5,10,60.68
0g8zrhvm,0,1961,12,84,6,7,3,2,8,4,6,26,4,10,57.804
i1pn02m0,1,1948,5,67,5,7,1,2,9,4,3,32,8,2,59.294
81vdxwtn,0,1962,12,05,3,8,1,0,10,5,6,32,9,0,56.977
upm7u6h4,1,1994,0,69,3,6,1,2,8,5,4,19,10,20,45
g4b64cpy,1,1965,9,33,2,7,2,1,9,5,5,10,10,10,52.261
iw845mwy,1,1950,9,87,2,7,1,2,8,4,5,15,10,10,54.856
msk33qa1,1,1939,6,59,2,7,1,2,8,5,10,22,10,0,56.977
8uz8b7bn,0,1954,1,39,7,7,4,2,10,5,4,32,7,10,54.856
aa41528z,0,1965,12,83,2,6,1,2,10,4,3,4,2,0,66.036
u60pq4zl,1,1999,12,29,3,5,1,1,10,3,8,17,1,20,82.349
s1jezupe,1,1960,1,70,3,4,2,2,8,3,7,4,4,20,63.138
v46m9b4g,1,1987,12,83,8,2,1,2,8,5,5,20,8,10,45
5d4k4sn7,0,1979,3,28,6,4,2,2,10,4,0,10,3,2,57.804
gsnc2ssd,0,1984,8,76,5,4,3,2,9,4,3,40,7,6,57.804
yrwmrfpf,0,1959,7,95,2,7,-1,2,9,3,7,3,9,0,80.362
8svcoavi,0,1978,8,50,7,5,5,2,10,4,2,32,0,0,54.856
tz86ve37,0,1971,9,33,3,8,3,2,8,5,3,32,6,10,57.804
116bx4or,0,1976,12,83,5,5,4,2,10,4,5,20,7,10,77.521
h6cunsxq,0,1965,5,57,5,2,7,2,9,4,6,32,4,10,45
k7qhgnyt,1,1962,3,18,4,4,5,2,8,4,0,50,10,0,75.379
fu0blg0t,1,1957,3,28,2,7,2,2,9,4,6,20,4,10,62.079
7jlygakr,0,1974,2,29,2,5,4,2,8,4,6,39,8,10,57.804
b7ryimsq,1,1954,10,12,6,7,11,2,9,4,6,2,8,2,56.977
9jg0i96x,0,1973,9,64,6,4,1,1,10,3,6,5,7,12,60.776
mbad8u9n,1,1959,6,60,1,5,2,2,9,5,7,2,8,10,56.766
i5a064h7,1,1956,2,22,5,7,4,2,9,4,6,31,8,10,57.804
g639q6df,1,1962,6,59,2,7,1,2,0,3,7,6,4,20,73.711
wpqfdkv7,1,1988,9,33,5,5,4,2,7,4,6,26,7,4,57.804
ltgz5665,1,1943,7,95,2,7,-1,2,9,5,9,43,9,10,51.53
3nzbipx1,1,1996,7,93,8,8,2,2,8,4,4,28,3,20,54.856
vdswvxmn,0,1969,10,81,0,8,2,1,10,4,7,20,5,4,43.975
zfo969bq,1,1948,5,67,8,7,3,2,9,4,6,42,7,16,66.168
jee13nhc,0,1993,6,59,6,4,3,1,8,4,2,20,9,10,54.856
zlpyp3ss,0,1967,6,60,2,5,0,2,10,3,3,7,8,2,80.789
22cb4p34,0,1997,8,61,8,8,3,2,9,4,2,20,3,8,47.016
txy2aief,1,1939,0,69,3,7,3,2,6,4,6,38,2,12,49.459
lctk2e5b,1,1953,0,38,7,7,3,1,7,5,7,1,8,0,79.447
n9flr09o,1,1947,1,21,9,7,4,2,9,4,5,2,4,0,59.559
jlus15oi,0,1949,5,67,9,7,6,2,9,5,7,15,7,4,54.856
o2s2o4uf,1,1982,5,56,6,6,1,2,4,4,2,5,2,0,53.014
5vjk0ql5,1,1948,10,31,8,7,3,2,9,4,2,32,4,10,56.766
iriknji6,0,1950,0,63,8,7,4,2,10,4,0,32,8,0,23.964
48sff71o,0,1956,0,63,5,7,-1,2,8,3,4,20,7,10,54.856
szv8r7io,0,1973,7,94,6,4,2,1,10,5,4,39,7,10,73.711
xs3e2sdv,0,1970,12,13,4,4,0,2,9,4,5,3,5,0,59.294
6kp0lvv5,1,1948,9,40,8,7,3,2,10,5,5,23,5,20,57.804
h967mwy5,1,1961,8,76,2,7,1,2,6,5,1,10,2,18,55.126
hgzqgfx3,1,1954,7,95,2,7,2,1,8,4,7,52,8,8,55.417
3nrqi77s,0,1959,7,0,0,5,-1,0,6,3,0,1,0,0,56.977
zmhp2qcp,0,1980,12,06,7,4,-1,1,10,3,5,1,5,0,56.977
9hs1w5v4,1,1958,5,54,2,7,3,2,9,4,8,20,7,20,54.856
sotz5sqs,0,1947,7,78,2,7,-1,2,9,5,0,5,5,0,30.529
z1tskfim,0,1975,2,56,5,2,1,2,8,4,2,32,2,10,56.766
wqxzu7sg,1,1960,9,17,3,2,2,2,5,5,5,34,5,10,60.68
ljj2oh8x,1,1948,12,13,7,7,3,2,8,3,6,16,7,20,57.619
cqq06ziy,1,1951,0,69,2,7,2,2,5,1,5,28,3,16,65.149
te8uorbs,1,1986,10,31,5,4,1,0,6,4,6,10,7,0,74.395
bobr8cm8,0,1978,10,34,7,4,1,2,10,5,2,16,5,0,57.804
ybmuions,1,1973,0,38,3,4,3,0,6,5,7,32,8,2,58.935
yacu24rn,0,1960,6,62,8,7,2,2,8,4,5,40,5,20,54.856
0jgerucr,0,1949,3,37,8,7,1,2,10,5,5,16,10,10,60.182
eknl7w0l,0,1981,5,51,3,8,4,1,9,4,8,7,3,20,57.804
xmsl48zx,0,1951,6,59,7,7,4,2,8,5,5,40,8,8,57.804
1ouwtw64,0,1951,7,91,5,7,2,1,10,4,6,40,3,20,71.141
vfk9lzxa,1,1973,7,92,2,6,4,2,6,4,3,16,5,20,57.804
bawc69ja,1,1955,7,93,8,4,4,2,8,5,6,58,8,10,73.417
0uuryv82,0,1973,7,78,8,8,9,1,7,4,7,61,2,10,57.619
gp149hc3,0,1946,10,34,8,7,7,2,8,4,8,16,8,12,57.529
efe1r5qt,1,1979,9,40,3,8,1,0,8,3,6,40,8,10,67.618
8lqr9og3,1,1996,7,91,6,4,8,2,5,4,1,32,9,10,57.804
qlh613em,0,1952,0,69,7,7,11,2,9,5,3,26,4,20,54.856
zxhhgegu,1,1996,8,14,5,5,5,2,7,4,7,63,2,0,57.804
vn1p7pcq,1,1949,2,22,2,7,3,2,6,4,0,62,7,0,82.349
mrvxd1pl,0,1955,9,40,7,7,3,2,10,5,2,10,5,0,23.964
v4qnxmqp,1,1951,10,12,8,7,3,2,8,4,6,3,3,10,68.239
06lrzclo,0,1962,7,92,5,8,-1,2,10,4,5,32,6,0,45
4veukju9,1,1974,9,0,1,4,3,2,8,5,8,30,5,10,57.804
c7iv3fgw,1,1954,9,64,2,7,2,2,9,4,3,10,5,10,56.056
r5p8f4jr,1,1966,0,26,2,4,3,2,8,4,1,10,8,14,56.852
n7ww3p2j,1,1977,10,31,6,4,0,1,8,4,8,64,8,0,53.994
c0plee5t,0,1948,12,83,6,7,1,2,10,5,6,6,7,10,56.452
bklbnfzv,1,1955,6,59,6,7,0,2,8,5,2,9,10,0,33.234
cwtv9oo3,1,1982,3,18,5,5,3,2,6,4,0,7,5,0,54.856
07a94r0q,0,1944,11,44,5,7,-1,2,9,3,0,3,5,0,56.977
1yq7q1kq,1,1982,11,85,2,6,2,2,7,2,10,4,10,0,54.856
qak2yqq9,1,1949,0,26,7,7,4,2,6,4,6,20,8,10,57.804
40jx9ag9,0,1994,12,83,8,8,2,0,7,4,5,30,8,6,80.362
v4aig2z0,1,1948,9,47,1,7,1,2,8,3,2,36,2,10,80.789
a0i2gvxc,1,1950,3,36,8,7,8,2,8,4,7,20,7,10,54.856
fkgjgy2i,1,1972,0,43,2,4,1,2,6,3,7,1,10,0,61.252
31oqua5w,1,1991,6,62,5,8,0,0,7,3,6,15,9,14,53.559
xedwkipp,0,1951,9,19,5,7,0,0,8,3,7,1,9,16,60.68
hbbhttiq,0,1995,11,44,6,4,1,2,8,5,5,16,4,0,65.144
0skgdyyx,1,1964,9,40,2,6,1,2,5,4,0,53,10,10,54.856
gkv5defv,0,1994,0,69,6,4,3,0,7,4,8,20,2,6,57.804
m7xt1p9d,1,1994,12,83,6,5,1,0,9,4,2,10,8,0,45
otjwkz5k,0,1972,7,78,5,4,2,1,10,4,8,8,10,2,33.234
gses824w,0,1976,5,54,7,5,0,2,10,5,0,60,2,0,80.789
nxfnx19g,1,1950,12,83,3,7,2,2,8,5,7,37,5,10,57.804
pppzjwwj,0,1951,0,63,3,7,0,2,7,3,7,36,8,10,57.804
ur1y2cch,1,1950,11,49,1,7,2,2,9,5,0,4,7,2,56.977
3x0fjxfq,0,1960,0,03,0,5,1,2,10,4,5,3,10,0,54.856
05r4ao4h,0,1998,8,76,8,8,0,2,2,2,3,1,4,14,67.968
wizbe38v,1,1954,7,78,8,7,-1,2,8,4,0,3,7,0,80.789
bhjwejan,1,1984,5,51,5,4,2,2,8,3,5,32,0,0,57.804
2jrlzgkk,0,1982,11,44,5,4,3,2,9,4,2,32,5,10,45
c0nfd2y5,1,1943,11,49,8,7,2,2,10,4,5,1,7,0,55.126
biy6wd3p,1,1978,0,74,2,6,3,0,9,2,5,52,5,20,80.362
815zjn8u,1,1955,7,78,5,7,3,2,7,5,7,55,2,20,80.362
0ey1kbr9,0,1986,7,95,6,5,1,2,9,4,0,63,10,10,75.379
7kc6x3ud,1,1956,5,51,9,7,3,2,10,4,4,20,3,10,62.319
0qvtblyf,0,1951,12,83,5,7,2,2,10,5,5,1,6,0,56.977
189mauos,1,1946,2,56,5,7,4,2,9,2,3,10,9,0,60.469
2p6csowg,0,1952,9,33,6,7,0,2,10,4,5,46,7,10,54.856
h7nzp5ii,0,1980,7,75,5,2,-1,0,9,3,5,30,5,16,56.539
ez4fn0lp,1,1978,2,22,4,5,3,2,6,4,7,63,4,0,66.395
bh6mes9k,1,1997,9,33,8,4,3,2,5,4,5,26,7,8,40.794
ir20zojg,0,1954,0,63,6,7,3,2,9,5,0,20,5,0,57.804
9yg9p8vx,0,1957,0,01,5,8,0,2,10,5,5,33,10,10,57.804
peunqr72,1,1992,10,31,4,6,2,2,7,4,6,32,7,20,54.856
