identifiant,genre,date_naissance,region,departement,diplome,csp,revenu_mensuel,vaccination,confinement_respect,precaution,risque_declare,risque_jeu,patience,cooperation,comportement
wc1b9930,0,1967,7,75,7,4,4,2,9,3,5,22,2,10,54.856
25swwixm,0,1948,12,13,3,7,0,2,8,4,0,1,8,0,63.134
9mffs8sh,1,1952,7,92,3,7,4,2,7,4,5,8,5,20,58.515
39cwknpe,0,1971,8,76,5,5,1,2,5,4,7,32,5,0,57.804
yyv592m2,0,1962,5,67,2,8,-1,2,10,5,2,25,8,0,57.804
x99lnvld,0,1973,5,57,5,4,3,0,7,5,3,40,5,0,74.197
twuwj2hd,0,1976,9,17,5,5,2,2,9,4,8,28,1,8,59.559
fi193gj4,1,1960,11,49,9,3,2,2,8,3,6,30,3,10,58.207
q42jueps,0,1989,5,51,6,4,3,2,8,5,5,32,5,10,49.429
rwnkrae0,0,1978,5,68,2,5,1,0,7,4,8,40,10,10,45
8237c403,1,1964,6,60,2,7,1,2,8,4,3,36,6,10,57.804
mzqabnw9,0,1966,4,2B,6,3,1,0,5,2,7,55,2,20,57.804
qbx58rd9,1,1999,7,92,5,8,1,2,7,4,9,20,9,20,50.971
xotvjpk3,1,1958,12,84,8,7,3,2,9,5,6,36,7,8,66.304
wfw1dh78,0,1947,10,11,7,7,5,2,5,3,3,4,3,0,56.977
epre7j5h,1,1990,1,21,6,3,5,2,8,5,7,10,3,20,57.804
ufr4bfhj,1,1995,6,59,3,6,1,1,6,4,8,64,8,20,66.249
4p1fmg34,1,1954,5,68,8,7,-1,2,9,4,0,2,10,10,55.126
qaoq3bnd,1,1978,0,26,7,4,4,2,9,4,2,32,5,10,57.804
n613q57p,0,1957,0,26,3,7,-1,2,10,4,2,6,10,0,54.856
opxdsi44,0,1964,0,26,6,3,2,0,5,4,8,28,10,20,69.183
wammkbnj,0,1993,7,78,9,4,4,1,7,5,5,50,8,20,80.789
32lzedef,0,1951,9,40,2,7,2,2,10,4,0,13,8,0,56.977
6qvwpyw8,1,1978,7,91,9,4,4,2,8,4,7,32,10,20,23.964
cbcqpbqf,1,1956,6,59,1,7,1,2,10,5,0,1,7,0,57.804
d9mf4jhb,0,1984,8,76,8,4,4,2,10,4,4,45,2,8,54.856
feq2jn11,0,1955,11,44,3,7,4,2,10,5,2,20,2,0,54.856
aferfg5g,1,1969,0,38,5,3,6,2,10,5,7,30,8,20,57.804
msf83a3k,1,1962,5,57,4,3,5,2,10,2,5,50,0,20,54.856
yjypbasc,0,1987,9,87,6,4,3,2,9,5,3,30,5,20,57.804
im4g8n0w,1,1985,6,59,3,2,4,2,9,4,2,40,3,6,54.856
36xowhp3,1,1950,9,33,5,7,4,2,9,4,7,32,6,16,45
dnimbwtv,1,1948,6,62,2,7,2,2,8,5,10,10,5,10,77.381
6rp659kl,0,1987,0,69,8,3,6,2,8,4,4,32,5,6,54.856
6pf036k0,1,1954,11,85,2,7,2,1,8,4,9,32,3,20,62.296
vtumc86y,1,1981,10,31,8,3,5,2,3,3,2,32,5,0,45
rm1oj1ls,0,1995,12,06,8,3,2,1,5,5,2,32,7,10,45
shbtfoje,1,1965,6,59,6,3,4,2,8,4,4,20,0,0,71.635
jl2drpb5,0,1995,12,13,8,5,2,2,6,4,6,25,4,6,57.804
5sljc20f,0,1949,9,86,5,7,11,2,10,5,8,50,7,20,56.977
0389cwbr,1,2001,7,93,5,8,2,1,8,4,7,1,8,10,60.597
ld76eoxm,1,1985,6,59,4,5,1,2,10,5,8,14,7,20,33.234
dopxfxuh,0,1989,5,51,9,3,3,1,9,3,7,50,5,10,45
slodgkpq,0,1972,6,59,5,5,3,2,10,4,3,50,8,10,57.804
5l5y6y9n,0,1993,12,13,8,3,1,0,10,4,6,20,10,20,67.48
c0b4u2tc,1,1953,2,29,3,7,3,2,7,4,5,48,7,10,57.804
enajsxnb,1,1976,6,59,8,3,6,2,7,4,6,36,4,20,60.255
p7m4klnm,0,1966,7,91,5,4,4,2,8,3,4,60,4,10,63.186
b1r7sr7k,0,1945,7,92,5,7,1,2,8,5,6,16,4,10,54.856
8wpo6opj,1,1950,10,32,3,7,3,2,7,3,4,2,7,12,58.391
13r9s5q4,0,1960,10,46,3,6,2,2,9,5,5,45,7,20,54.856
aw7lzhtz,1,1945,0,69,1,7,1,1,9,5,8,50,3,10,82.349
ervfzmd7,0,1974,5,54,8,4,3,2,8,5,4,32,10,20,72.463
r2vwt1db,0,1967,12,83,8,3,3,2,8,4,5,52,8,2,74.395
tkpcyxl1,0,1961,11,85,3,7,3,2,9,5,6,17,6,10,55.417
1hiddqak,0,1990,0,38,2,5,2,2,10,2,6,32,5,0,80.362
casko354,1,1987,9,33,8,3,5,2,7,5,7,10,4,10,66.173
tonmuv39,1,1954,11,85,7,7,5,2,7,3,5,40,8,12,57.829
0cgm4mu5,0,1946,4,75,8,7,4,2,6,3,4,41,8,20,60.469
ylhv8c5d,0,1958,7,92,9,7,5,2,10,5,4,40,4,10,62.296
5b0h7f2m,0,1950,5,54,1,7,2,2,7,4,5,1,6,0,54.856
ip1u6hcw,1,1983,10,48,8,4,3,2,9,4,0,32,10,0,57.804
jg7uod24,1,1986,10,30,8,3,4,1,7,4,8,22,3,20,57.804
ipvn2wng,0,1953,10,11,6,7,3,2,9,3,6,50,9,14,57.804
rzja7k0g,0,1973,5,67,8,4,4,2,10,4,5,40,8,20,57.804
odi1lc7a,1,1956,11,49,5,7,3,2,9,5,4,20,3,10,55.126
w12miw7w,0,1978,5,68,9,3,-1,2,9,4,4,32,5,6,63.186
yslwyn67,0,1959,1,70,9,8,4,1,10,5,10,24,10,20,80.362
54q9t3ph,1,1941,12,06,8,7,10,2,8,5,7,10,7,20,80.362
xcszbljq,1,1944,0,15,9,7,5,2,9,5,0,7,10,0,45
4wsyjqcb,0,1972,10,34,7,5,6,2,4,4,4,13,8,20,69.763
koawglaw,1,1941,6,59,3,7,4,2,9,5,0,30,4,20,54.856
77p7h675,1,1936,12,06,8,7,4,2,8,1,7,32,5,0,80.362
sw0zfcah,1,1945,10,81,7,7,-1,1,4,5,0,1,0,0,56.977
bvt5zy74,1,1944,9,40,3,7,2,2,8,5,4,20,7,10,72.463
6iybjrx7,1,1950,1,21,8,7,4,2,9,4,6,22,4,0,57.804
vzo7ojar,1,1949,12,13,9,7,8,2,5,1,7,24,8,4,54.856
qyy2eh7x,1,1947,10,09,7,7,4,1,8,5,3,16,3,10,54.856
8sbllm0f,1,1963,0,42,6,4,4,2,10,5,6,2,10,0,70.642
1kcv0n9r,0,1942,10,34,0,7,2,2,9,4,3,1,2,2,56.977
30uf1yhp,0,1961,7,91,2,5,1,2,10,5,5,2,8,2,43.975
6mcuteru,1,1947,12,84,1,7,1,1,8,4,9,64,9,0,56.977
yg29ey3c,1,1961,6,80,7,3,5,2,10,5,8,39,2,20,82.349
4gw8nb13,1,1955,7,78,6,7,4,2,9,2,3,20,8,20,56.766
tkd8iqv5,1,1980,9,33,8,3,9,2,9,4,7,34,9,20,57.804
73lpmjxe,0,1947,7,91,6,7,2,2,8,5,5,48,4,16,54.856
0xgm4frf,0,1953,9,33,5,7,2,0,6,2,7,60,5,8,75.379
pbpv2df9,1,1956,1,21,9,7,4,2,8,4,3,12,2,12,54.856
nfyh07l4,1,1959,5,51,1,7,3,1,8,5,7,40,5,20,80.362
oo6xlkth,1,1999,11,49,7,8,5,2,8,4,6,31,8,10,54.856
p0em1yzd,1,1986,10,34,8,5,11,2,7,3,4,21,3,10,71.73
iq6ef79u,0,1957,0,38,6,7,1,2,8,4,9,40,2,20,60.469
3f48wi9d,1,1955,1,58,2,7,3,2,9,3,3,5,8,0,45
02ynznak,0,1950,9,86,4,7,1,2,8,3,2,1,5,16,56.052
m06ksfqv,0,1964,1,90,3,8,1,2,10,5,7,10,7,0,80.362
4swrzpkd,1,1973,9,64,8,3,9,2,7,5,3,50,2,10,43.975
e0z6jmc8,1,1959,9,86,2,5,4,2,9,4,4,32,8,14,62.798
vd6638xf,1,1943,8,14,9,7,6,2,9,4,2,20,5,4,57.804
owij3syb,1,1968,2,56,8,3,6,2,7,2,7,36,6,16,57.804
58nmqdse,0,1991,1,21,1,4,1,2,7,1,10,4,5,0,54.856
cop91p5r,1,1988,5,67,5,2,3,2,5,4,6,32,2,20,57.804
ktmv3nu6,1,1987,11,44,8,3,2,2,9,5,2,32,7,20,56.766
5583qhwv,1,1972,10,81,6,3,-1,0,9,4,5,30,4,10,60.255
htqyqn1g,0,1951,0,69,5,7,-1,2,7,4,6,63,4,10,57.804
jnn5va8y,0,1965,0,38,6,3,2,2,10,5,8,28,0,6,75.379
umcg2r27,1,1984,0,38,8,3,4,2,7,4,6,28,4,10,54.856
5b3cm1i2,1,1936,9,33,8,7,4,2,7,5,4,20,10,10,57.804
o65c9ql8,1,1946,12,13,4,7,3,2,8,5,5,20,7,4,57.804
vnw2c4m3,0,1948,7,75,9,7,6,2,9,5,6,40,8,20,51.789
reje129l,0,1958,6,59,5,7,3,2,9,4,7,53,8,6,60.469
g5hyhwhy,1,1974,11,44,3,2,5,2,10,5,8,44,6,10,66.036
z1wp5nx5,0,1988,7,93,5,5,4,2,9,4,3,10,7,10,65.356
pl2xtlp5,0,1966,9,47,2,3,3,2,9,4,5,20,6,0,54.856
q9mdbrjd,0,1950,12,06,5,7,2,2,9,4,6,10,9,20,54.856
67yyi5z0,0,1949,6,62,3,7,4,2,8,4,5,32,8,10,54.856
drqnj7gp,1,1947,0,07,7,7,-1,2,8,4,0,36,5,4,80.362
5gh57uvr,1,1960,10,31,8,3,9,2,8,4,8,32,4,10,45
wak04tat,0,1950,0,38,5,7,5,2,9,5,6,32,6,18,71.419
gwfg4nz9,0,1961,5,54,3,8,2,2,8,4,2,17,7,10,67.618
w29qh17v,1,1971,1,21,3,3,6,2,9,4,3,10,10,20,65.701
qpu422ik,1,1969,7,77,5,3,5,2,10,5,3,32,2,20,75.379
0hljtcgw,1,1984,0,38,8,3,4,2,7,4,7,22,4,20,80.362
0jujie03,0,1944,12,06,9,7,1,1,9,4,1,64,9,0,54.856
8m20f317,0,1988,0,69,6,4,4,2,8,5,3,20,3,6,54.856
f82qalzc,0,1947,9,47,5,7,3,2,10,5,5,12,7,10,54.237
36h4a0rc,1,1979,9,19,6,3,2,2,9,5,0,2,10,0,57.804
5p8kez5x,0,1950,0,38,5,7,1,2,10,5,0,38,8,20,76.023
19oe6zu9,0,1974,12,83,3,6,2,2,10,4,3,45,7,0,58.527
uxaty46v,0,1948,6,59,9,7,6,2,7,4,5,32,6,0,60.255
r9fajcrq,0,1959,3,41,1,7,1,2,10,4,0,16,8,6,57.804
7dly9o5q,0,1995,2,56,6,2,2,2,4,4,7,19,7,8,57.804
vs2hfvcf,1,1995,2,56,6,5,1,2,6,5,3,22,8,0,54.856
j0zau203,1,1959,12,83,3,7,2,1,7,3,5,50,4,14,65.907
i4mo02xb,1,1971,6,80,4,4,0,2,10,3,5,32,5,10,56.766
gq6pgn52,1,1967,7,77,7,3,5,2,9,4,1,32,4,20,51.789
5qhafiwv,0,1968,5,68,2,4,2,2,9,4,7,3,10,0,30.529
c9rhc5pa,1,1987,12,83,5,6,1,2,6,5,5,31,6,20,45
fsohrga2,0,1963,5,54,7,3,6,2,8,4,3,32,6,0,45
spb5tsrs,1,1967,7,75,8,3,-1,2,8,4,5,32,5,10,57.804
g8xx0626,1,1954,0,07,8,7,2,0,7,5,4,1,5,0,54.856
yh15hl76,1,1946,10,34,8,7,4,2,8,5,5,18,6,14,63.835
985701yz,1,1952,9,40,7,7,4,2,7,5,6,32,5,20,57.804
uas87tt9,1,1984,7,78,8,3,6,2,9,5,5,32,6,10,57.804
hgywppc5,1,1944,11,49,8,7,3,2,8,5,7,2,8,2,56.977
km14w2qa,0,1994,2,35,5,5,2,2,8,2,5,13,0,10,79.082
rv0vxufj,0,1965,3,28,2,5,3,2,9,5,1,12,7,20,63.138
xt9fspi9,0,1955,10,0,6,7,9,2,8,5,0,2,8,16,71.311
cu3aha1t,1,1955,2,56,1,7,4,1,8,5,6,46,4,10,57.804
kfg5efvj,1,1960,5,51,2,7,3,2,7,4,7,40,6,10,60.255
dgi81bl6,1,1973,10,65,1,3,0,2,8,4,7,8,9,8,54.856
m2z0ep7i,0,1945,0,69,8,7,11,2,8,4,2,10,8,20,60.61
5n8u1jve,1,1945,9,17,8,7,4,2,10,5,6,48,4,0,57.804
d51t592s,0,1966,1,39,1,6,3,2,1,2,0,40,8,0,57.804
infqgcnm,0,1953,7,93,8,3,2,2,10,5,3,30,3,20,57.804
h15u2iu9,1,1999,3,2B,5,8,0,2,7,4,7,40,9,20,56.766
mn6hkar7,0,1974,3,41,2,6,1,2,10,5,5,32,2,20,57.804
4689ilul,1,1984,10,31,8,4,4,2,8,4,2,25,4,10,54.856
n89ctmc2,0,1938,0,01,3,7,4,2,8,5,5,47,3,0,54.856
8u28sj0x,1,1948,7,77,6,7,4,1,8,4,8,50,8,16,57.804
o9hyeia4,1,1966,9,17,9,3,-1,2,10,4,5,30,1,10,23.964
tm6w2tn8,1,1998,5,67,5,4,2,1,8,4,7,32,6,10,54.856
87uwlq9r,0,1962,10,31,9,3,2,2,9,4,3,64,9,0,54.856
4437wkio,1,1963,9,33,8,6,3,2,7,4,3,59,3,10,57.804
rxsjwb65,1,1986,0,01,8,3,4,2,9,1,6,36,9,20,80.362
obveezz8,0,1949,8,14,2,7,3,2,8,4,4,20,6,12,59.399
r8rdd5mi,1,1952,5,57,7,7,4,2,8,4,2,16,7,8,56.445
u07fk5ai,1,1952,6,59,3,7,3,2,8,5,4,32,6,10,43.975
xuyn7awd,0,1959,10,30,1,7,2,2,9,4,2,40,7,4,57.804
ie9sok19,1,1989,12,06,8,3,2,2,8,4,4,32,7,10,45
ku3wu6qz,1,1986,10,31,8,3,4,2,8,5,4,20,6,10,45
yg4jn282,0,1965,0,26,7,4,5,0,7,5,3,24,6,10,54.856
s74zrzpy,1,1969,11,44,8,4,4,2,8,4,4,4,7,20,58.877
oooi31b7,1,1965,0,69,8,3,2,2,8,5,3,32,8,10,54.856
kr3cnnw2,0,1972,1,71,7,3,2,2,7,4,4,16,9,0,54.856
yxi6x4jn,1,1955,7,92,6,7,8,2,9,4,4,42,5,10,54.856
rueg26ju,1,1943,0,73,1,7,4,2,10,5,8,52,10,20,54.856
8hgxwlc4,1,1932,12,13,2,7,3,2,8,5,5,30,8,0,64.291
je6ej06c,1,1983,2,29,8,3,2,2,8,4,3,32,8,20,80.362
